,id_entrega,Produtos,Data_da_entrega,Status,Destino,Distância_km,Custo,Faturamento
0,1,glp,2021-07-25,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
1,2,eletrônicos,2022-04-07,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
2,3,café,2023-02-11,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
3,4,café,2020-04-24,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
4,5,Carnes,2025-12-12,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
5,6,soja,2025-07-13,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
6,7,Queijo,2020-12-20,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
7,8,Carnes,2022-09-27,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
8,9,eletrônicos,2021-12-27,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
9,10,Carnes,2021-07-17,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
10,11,Queijo,2023-05-26,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
11,12,Carnes,2024-10-02,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
12,13,Queijo,2022-02-19,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
13,14,Carnes,2023-11-30,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
14,15,Queijo,2025-04-15,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
15,16,café,2024-04-06,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
16,17,café,2022-07-01,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
17,18,milho,2022-11-21,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
18,19,Gasolina,2022-11-07,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
19,20,glp,2020-07-04,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
20,21,café,2020-09-09,A tempo,Uberlândia-Goiânia,330,584.5714285714287,1650.0
21,22,Queijo,2021-09-26,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
22,23,milho,2022-09-04,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
23,24,eletrônicos,2025-12-18,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
24,25,Disel,2023-03-08,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
25,26,café,2024-03-08,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
26,27,Carnes,2021-05-05,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
27,28,glp,2020-01-26,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
28,29,café,2022-06-19,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
29,30,milho,2021-11-05,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
30,31,soja,2022-07-13,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
31,32,Queijo,2021-08-05,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
32,33,café,2022-05-24,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
33,34,soja,2021-06-19,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
34,35,eletrônicos,2020-10-25,A tempo,Uberlândia-Goiânia,330,584.5714285714287,1650.0
35,36,Disel,2020-08-03,A tempo,Uberlândia-Goiânia,330,584.5714285714287,1650.0
36,37,Gasolina,2023-07-16,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
37,38,milho,2020-05-21,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
38,39,soja,2023-11-23,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
39,40,glp,2022-03-08,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
40,41,Carnes,2025-07-04,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
41,42,eletrônicos,2023-10-22,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
42,43,milho,2023-07-23,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
43,44,café,2021-05-15,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
44,45,glp,2025-05-24,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
45,46,glp,2022-08-08,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
46,47,Gasolina,2023-10-05,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
47,48,Carnes,2022-02-16,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
48,49,milho,2021-10-19,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
49,50,Gasolina,2023-07-20,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
50,51,Gasolina,2023-03-02,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
51,52,soja,2022-10-14,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
52,53,café,2020-08-10,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
53,54,milho,2023-06-05,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
54,55,milho,2024-01-06,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
55,56,café,2022-10-07,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
56,57,soja,2020-02-08,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
57,58,Gasolina,2022-01-20,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
58,59,Disel,2021-05-15,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
59,60,eletrônicos,2023-01-29,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
60,61,soja,2021-09-15,A tempo,Uberlândia-Goiânia,330,584.5714285714287,1650.0
61,62,Queijo,2023-10-09,A tempo,Uberlândia-Goiânia,330,584.5714285714287,1650.0
62,63,Disel,2021-03-07,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
63,64,Queijo,2024-06-04,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
64,65,glp,2023-08-02,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
65,66,milho,2022-04-07,A tempo,Uberlândia-Goiânia,330,584.5714285714287,1650.0
66,67,café,2025-10-16,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
67,68,Gasolina,2022-03-11,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
68,69,glp,2023-04-27,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
69,70,glp,2022-07-20,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
70,71,glp,2023-09-15,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
71,72,milho,2023-10-22,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
72,73,eletrônicos,2024-05-25,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
73,74,Disel,2025-10-17,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
74,75,soja,2021-12-10,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
75,76,café,2021-09-19,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
76,77,Queijo,2025-06-03,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
77,78,milho,2022-04-15,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
78,79,milho,2022-04-01,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
79,80,eletrônicos,2020-07-08,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
80,81,glp,2024-07-14,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
81,82,Queijo,2023-05-06,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
82,83,café,2025-12-05,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
83,84,Carnes,2023-09-23,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
84,85,glp,2021-10-18,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
85,86,Carnes,2023-11-05,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
86,87,eletrônicos,2024-10-13,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
87,88,Gasolina,2020-06-28,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
88,89,Queijo,2023-11-19,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
89,90,café,2025-06-10,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
90,91,eletrônicos,2025-07-12,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
91,92,Carnes,2023-09-18,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
92,93,Carnes,2025-12-14,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
93,94,Carnes,2023-11-07,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
94,95,soja,2023-11-22,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
95,96,Disel,2024-08-30,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
96,97,eletrônicos,2022-03-30,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
97,98,eletrônicos,2021-02-19,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
98,99,eletrônicos,2022-03-31,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
99,100,eletrônicos,2024-12-21,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
100,101,Disel,2023-10-17,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
101,102,Queijo,2021-11-02,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
102,103,Disel,2022-09-06,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
103,104,Queijo,2023-08-28,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
104,105,milho,2025-11-20,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
105,106,Gasolina,2024-05-13,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
106,107,eletrônicos,2023-02-11,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
107,108,eletrônicos,2022-09-02,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
108,109,café,2022-03-17,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
109,110,eletrônicos,2024-05-06,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
110,111,Disel,2023-10-29,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
111,112,Queijo,2021-04-24,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
112,113,Carnes,2021-01-23,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
113,114,milho,2020-10-18,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
114,115,glp,2024-03-03,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
115,116,Gasolina,2021-03-21,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
116,117,eletrônicos,2024-06-23,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
117,118,Gasolina,2023-04-13,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
118,119,café,2023-04-21,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
119,120,Queijo,2022-03-03,A tempo,Uberlândia-Goiânia,330,584.5714285714287,1650.0
120,121,Carnes,2024-09-23,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
121,122,Queijo,2022-03-27,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
122,123,Queijo,2025-03-09,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
123,124,glp,2025-09-08,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
124,125,eletrônicos,2021-09-11,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
125,126,Gasolina,2025-03-13,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
126,127,Gasolina,2022-06-18,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
127,128,milho,2023-11-14,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
128,129,Disel,2020-08-12,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
129,130,milho,2024-07-30,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
130,131,café,2021-03-07,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
131,132,Carnes,2022-12-18,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
132,133,café,2025-06-05,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
133,134,Gasolina,2021-09-23,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
134,135,glp,2024-05-17,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
135,136,Gasolina,2020-09-29,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
136,137,Carnes,2020-05-04,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
137,138,Queijo,2024-08-28,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
138,139,milho,2023-08-21,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
139,140,soja,2023-12-14,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
140,141,Gasolina,2025-06-25,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
141,142,Carnes,2022-08-04,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
142,143,Queijo,2022-04-06,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
143,144,Carnes,2023-04-21,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
144,145,Disel,2023-08-22,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
145,146,glp,2024-08-16,A tempo,Uberlândia-Goiânia,330,584.5714285714287,1650.0
146,147,Gasolina,2025-08-16,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
147,148,milho,2022-12-29,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
148,149,glp,2025-07-23,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
149,150,café,2021-11-06,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
150,151,soja,2023-07-22,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
151,152,glp,2022-06-11,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
152,153,café,2025-09-16,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
153,154,eletrônicos,2024-06-02,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
154,155,eletrônicos,2020-12-31,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
155,156,soja,2020-08-08,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
156,157,Disel,2021-06-08,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
157,158,glp,2023-03-05,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
158,159,café,2021-09-14,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
159,160,Carnes,2020-09-06,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
160,161,Disel,2022-06-01,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
161,162,café,2022-11-07,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
