,Número_caminhão,Marca,Ano de fabricação,Data da última manutenção,Data da próxima manutenção,Status de manutenção
0,1001,Scania,2023-12-21 17:13:03.684174464,2026-01-31,2026-07-31,Ok
1,1002,Volvo,2023-04-23 06:43:39.735883136,2025-01-31,2025-07-31,Atrasada
2,1003,Scania,2015-10-19 08:07:16.239027664,2026-01-31,2026-07-31,Ok
3,1004,Mercedes,2012-08-24 04:39:10.018144392,2025-07-31,2026-01-31,Atrasada
4,1005,Volvo,2017-07-10 20:37:34.525778720,2025-07-31,2026-01-31,Atrasada
5,1006,Volvo,2019-09-25 23:30:23.231893632,2025-07-31,2026-01-31,Atrasada
6,1007,Scania,2023-11-30 19:08:37.756674432,2025-07-31,2026-01-31,Atrasada
7,1008,Scania,2018-09-25 14:09:34.380721600,2025-07-31,2026-01-31,Atrasada
8,1009,Volvo,2012-04-12 05:31:47.493313767,2025-01-31,2025-07-31,Atrasada
9,1010,Volvo,2014-10-18 23:53:48.928098128,2025-01-31,2025-07-31,Atrasada
10,1011,Mercedes,2018-02-21 08:41:28.058982112,2025-07-31,2026-01-31,Atrasada
11,1012,Scania,2015-11-27 23:44:57.102700160,2026-01-31,2026-07-31,Ok
12,1013,Scania,2021-10-16 19:23:15.290115328,2025-07-31,2026-01-31,Atrasada
13,1014,Volvo,2023-08-23 06:01:38.610324736,2025-07-31,2026-01-31,Atrasada
14,1015,Mercedes,2017-12-21 03:55:32.655926368,2026-01-31,2026-07-31,Ok
15,1016,Volvo,2017-10-01 14:55:32.142054336,2026-01-31,2026-07-31,Ok
16,1017,Scania,2013-12-31 10:22:22.653435872,2025-07-31,2026-01-31,Atrasada
17,1018,Mercedes,2018-07-15 03:29:14.601798272,2025-07-31,2026-01-31,Atrasada
18,1019,Mercedes,2016-02-03 00:04:16.412410480,2025-07-31,2026-01-31,Atrasada
19,1020,Mercedes,2018-07-13 04:46:15.943182944,2025-01-31,2025-07-31,Atrasada
20,1021,Mercedes,2020-03-29 00:39:37.405689440,2025-01-31,2025-07-31,Atrasada
21,1022,Scania,2012-08-25 14:31:40.457740096,2026-01-31,2026-07-31,Ok
22,1023,Volvo,2014-09-30 14:32:22.277936336,2026-01-31,2026-07-31,Ok
23,1024,Mercedes,2013-02-25 23:58:35.966368008,2025-07-31,2026-01-31,Atrasada
24,1025,Volvo,2015-10-05 00:27:18.610524992,2025-01-31,2025-07-31,Atrasada
25,1026,Volvo,2021-07-08 01:57:30.043531584,2026-01-31,2026-07-31,Ok
26,1027,Mercedes,2017-01-19 01:29:26.856699296,2026-01-31,2026-07-31,Ok
27,1028,Scania,2018-01-21 16:37:02.774321344,2025-01-31,2025-07-31,Atrasada
28,1029,Mercedes,2019-10-03 02:15:57.107818784,2025-07-31,2026-01-31,Atrasada
29,1030,Volvo,2020-06-27 17:24:49.052015232,2025-01-31,2025-07-31,Atrasada
30,1031,Volvo,2023-06-18 19:27:49.862243200,2026-01-31,2026-07-31,Ok
31,1032,Volvo,2012-04-06 22:22:31.253368300,2025-01-31,2025-07-31,Atrasada
32,1033,Volvo,2016-03-09 03:57:04.089320464,2025-01-31,2025-07-31,Atrasada
33,1034,Volvo,2017-04-06 17:50:17.251565152,2025-07-31,2026-01-31,Atrasada
34,1035,Mercedes,2016-05-06 22:21:27.822087296,2026-01-31,2026-07-31,Ok
35,1036,Scania,2013-09-30 07:41:37.386341368,2025-01-31,2025-07-31,Atrasada
36,1037,Mercedes,2021-05-27 20:42:44.653197888,2025-07-31,2026-01-31,Atrasada
37,1038,Volvo,2015-08-22 09:08:54.867593712,2025-07-31,2026-01-31,Atrasada
38,1039,Mercedes,2014-05-15 12:13:41.351955632,2026-01-31,2026-07-31,Ok
39,1040,Scania,2020-03-07 03:45:31.344891712,2025-01-31,2025-07-31,Atrasada
40,1041,Volvo,2017-07-24 13:43:11.766878080,2026-01-31,2026-07-31,Ok
41,1042,Scania,2014-06-04 07:36:56.823624048,2025-07-31,2026-01-31,Atrasada
42,1043,Mercedes,2013-05-22 12:05:03.420351552,2026-01-31,2026-07-31,Ok
43,1044,Mercedes,2015-09-12 02:27:10.869093504,2025-01-31,2025-07-31,Atrasada
44,1045,Mercedes,2013-06-05 05:43:02.468443664,2025-01-31,2025-07-31,Atrasada
45,1046,Volvo,2021-11-06 23:22:45.421561216,2026-01-31,2026-07-31,Ok
46,1047,Mercedes,2013-02-09 21:10:12.698376628,2026-01-31,2026-07-31,Ok
47,1048,Volvo,2013-01-14 14:42:52.485566556,2025-01-31,2025-07-31,Atrasada
48,1049,Mercedes,2020-10-10 21:43:20.359488384,2026-01-31,2026-07-31,Ok
49,1050,Volvo,2023-09-14 20:52:05.735709184,2026-01-31,2026-07-31,Ok
50,1051,Mercedes,2017-07-10 13:38:41.492926464,2025-07-31,2026-01-31,Atrasada
51,1052,Volvo,2016-09-22 18:45:42.347170592,2025-01-31,2025-07-31,Atrasada
52,1053,Mercedes,2018-06-02 15:55:55.689623936,2026-01-31,2026-07-31,Ok
53,1054,Mercedes,2018-01-11 08:08:49.310073088,2025-01-31,2025-07-31,Atrasada
54,1055,Volvo,2017-10-26 08:22:49.451559360,2025-01-31,2025-07-31,Atrasada
55,1056,Scania,2023-07-18 00:50:28.451766720,2026-01-31,2026-07-31,Ok
56,1057,Scania,2016-11-27 11:51:14.986466432,2025-07-31,2026-01-31,Atrasada
57,1058,Mercedes,2018-08-11 22:59:57.182205824,2025-07-31,2026-01-31,Atrasada
58,1059,Volvo,2020-05-24 12:10:02.394831904,2025-07-31,2026-01-31,Atrasada
59,1060,Scania,2015-01-11 00:03:54.305173744,2026-01-31,2026-07-31,Ok
60,1061,Scania,2018-10-25 20:37:46.481951776,2026-01-31,2026-07-31,Ok
61,1062,Mercedes,2021-04-21 23:35:46.177100096,2025-07-31,2026-01-31,Atrasada
62,1063,Scania,2020-09-24 20:04:05.404887488,2025-07-31,2026-01-31,Atrasada
63,1064,Mercedes,2012-06-09 13:12:42.614991406,2026-01-31,2026-07-31,Ok
64,1065,Volvo,2023-06-10 21:59:31.051688576,2026-01-31,2026-07-31,Ok
65,1066,Volvo,2012-11-23 03:44:06.331305004,2026-01-31,2026-07-31,Ok
66,1067,Scania,2015-11-07 02:48:43.518945760,2025-07-31,2026-01-31,Atrasada
67,1068,Scania,2018-03-25 08:46:24.599147616,2025-01-31,2025-07-31,Atrasada
68,1069,Scania,2018-08-11 17:17:32.370204896,2026-01-31,2026-07-31,Ok
69,1070,Mercedes,2016-03-21 13:24:13.363087280,2025-07-31,2026-01-31,Atrasada
70,1071,Mercedes,2023-11-29 07:44:59.655356992,2025-01-31,2025-07-31,Atrasada
71,1072,Scania,2021-07-04 01:42:25.271545344,2025-07-31,2026-01-31,Atrasada
72,1073,Mercedes,2014-07-01 21:49:43.898184784,2025-07-31,2026-01-31,Atrasada
73,1074,Volvo,2022-03-11 17:24:16.195288192,2026-01-31,2026-07-31,Ok
74,1075,Scania,2021-11-15 14:33:33.720521024,2025-01-31,2025-07-31,Atrasada
75,1076,Scania,2018-07-13 13:15:54.320942368,2025-01-31,2025-07-31,Atrasada
76,1077,Volvo,2022-12-07 20:19:25.288179904,2025-07-31,2026-01-31,Atrasada
77,1078,Scania,2022-04-23 19:07:25.146522112,2025-01-31,2025-07-31,Atrasada
