,Número_caminhao,marca,Ano,Km_rodados,tipo
0,1001,Scania,2023-12-21,276675,articulado
1,1002,Volvo,2023-04-23,61358,articulado
2,1003,Scania,2015-10-19,531097,rígido
3,1004,Mercedes,2012-08-24,692274,rígido
4,1005,Volvo,2017-07-10,564678,articulado
5,1006,Volvo,2019-09-25,238907,rígido
6,1007,Scania,2023-11-30,278142,rígido
7,1008,Scania,2018-09-25,494468,articulado
8,1009,Volvo,2012-04-12,797817,articulado
9,1010,Volvo,2014-10-18,887224,rígido
10,1011,Mercedes,2018-02-21,560063,rígido
11,1012,Scania,2015-11-27,358861,articulado
12,1013,Scania,2021-10-16,295131,rígido
13,1014,Volvo,2023-08-23,245099,rígido
14,1015,Mercedes,2017-12-21,329165,articulado
15,1016,Volvo,2017-10-01,456028,rígido
16,1017,Scania,2013-12-31,678134,rígido
17,1018,Mercedes,2018-07-15,525722,rígido
18,1019,Mercedes,2016-02-03,576963,rígido
19,1020,Mercedes,2018-07-13,374949,articulado
20,1021,Mercedes,2020-03-29,125793,rígido
21,1022,Scania,2012-08-25,803655,articulado
22,1023,Volvo,2014-09-30,832128,articulado
23,1024,Mercedes,2013-02-25,620113,rígido
24,1025,Volvo,2015-10-05,560428,articulado
25,1026,Volvo,2021-07-08,276811,articulado
26,1027,Mercedes,2017-01-19,521736,articulado
27,1028,Scania,2018-01-21,319384,rígido
28,1029,Mercedes,2019-10-03,121241,articulado
29,1030,Volvo,2020-06-27,183328,articulado
30,1031,Volvo,2023-06-18,124093,articulado
31,1032,Volvo,2012-04-06,864769,rígido
32,1033,Volvo,2016-03-09,306219,rígido
33,1034,Volvo,2017-04-06,426449,rígido
34,1035,Mercedes,2016-05-06,311888,articulado
35,1036,Scania,2013-09-30,889856,rígido
36,1037,Mercedes,2021-05-27,190321,articulado
37,1038,Volvo,2015-08-22,372902,rígido
38,1039,Mercedes,2014-05-15,758072,articulado
39,1040,Scania,2020-03-07,168945,rígido
40,1041,Volvo,2017-07-24,399749,rígido
41,1042,Scania,2014-06-04,768104,rígido
42,1043,Mercedes,2013-05-22,633128,articulado
43,1044,Mercedes,2015-09-12,304293,rígido
44,1045,Mercedes,2013-06-05,867700,rígido
45,1046,Volvo,2021-11-06,172089,rígido
46,1047,Mercedes,2013-02-09,859232,articulado
47,1048,Volvo,2013-01-14,683618,rígido
48,1049,Mercedes,2020-10-10,76131,rígido
49,1050,Volvo,2023-09-14,103621,articulado
50,1051,Mercedes,2017-07-10,466224,articulado
51,1052,Volvo,2016-09-22,329823,rígido
52,1053,Mercedes,2018-06-02,547720,articulado
53,1054,Mercedes,2018-01-11,433335,rígido
54,1055,Volvo,2017-10-26,428851,articulado
55,1056,Scania,2023-07-18,212656,articulado
56,1057,Scania,2016-11-27,458415,articulado
57,1058,Mercedes,2018-08-11,586933,articulado
58,1059,Volvo,2020-05-24,177466,rígido
59,1060,Scania,2015-01-11,546539,articulado
60,1061,Scania,2018-10-25,396536,rígido
61,1062,Mercedes,2021-04-21,258617,articulado
62,1063,Scania,2020-09-24,155236,rígido
63,1064,Mercedes,2012-06-09,898371,rígido
64,1065,Volvo,2023-06-10,193144,articulado
65,1066,Volvo,2012-11-23,673865,articulado
66,1067,Scania,2015-11-07,519866,articulado
67,1068,Scania,2018-03-25,460180,rígido
68,1069,Scania,2018-08-11,559131,articulado
69,1070,Mercedes,2016-03-21,401235,rígido
70,1071,Mercedes,2023-11-29,230431,articulado
71,1072,Scania,2021-07-04,153509,articulado
72,1073,Mercedes,2014-07-01,780649,rígido
73,1074,Volvo,2022-03-11,85210,rígido
74,1075,Scania,2021-11-15,259862,articulado
75,1076,Scania,2018-07-13,443729,rígido
76,1077,Volvo,2022-12-07,192708,articulado
77,1078,Scania,2022-04-23,148186,rígido
78,1079,Mercedes,2013-05-14,629529,articulado
79,1080,Mercedes,2016-02-28,582332,articulado
80,1081,Volvo,2014-11-21,870020,articulado
81,1082,Mercedes,2018-05-23,513124,articulado
82,1083,Mercedes,2015-10-24,356245,rígido
83,1084,Scania,2023-11-14,266537,rígido
84,1085,Volvo,2022-11-25,165352,articulado
85,1086,Volvo,2017-06-03,409926,articulado
86,1087,Mercedes,2018-08-12,332504,rígido
87,1088,Scania,2016-04-06,479016,articulado
88,1089,Mercedes,2018-01-22,538460,articulado
89,1090,Mercedes,2016-06-26,461171,articulado
90,1091,Mercedes,2021-03-03,135435,articulado
91,1092,Mercedes,2015-01-05,312291,articulado
92,1093,Scania,2013-01-08,862565,articulado
93,1094,Scania,2015-12-29,556262,articulado
94,1095,Scania,2018-01-04,563711,articulado
95,1096,Volvo,2015-11-19,554298,rígido
96,1097,Scania,2020-03-13,86630,rígido
97,1098,Volvo,2017-05-17,307517,articulado
98,1099,Mercedes,2013-05-08,678785,rígido
99,10100,Scania,2018-06-03,502073,articulado
