Número_caminhao,marca,Ano,Km_rodados,tipo
1001,Scania,2020-12-25 06:34:51.846885376,245939,rígido
1002,Scania,2014-06-25 00:52:02.320067616,829376,articulado
1003,Volvo,2018-03-22 09:36:56.886220224,398194,rígido
1004,Volvo,2014-02-20 17:59:26.350950440,872091,articulado
1005,Volvo,2019-01-11 19:55:18.981060000,118410,articulado
1006,Scania,2013-03-21 02:25:13.213983360,631605,articulado
1007,Mercedes,2014-10-11 05:05:08.128191504,890155,articulado
1008,Scania,2013-12-28 05:33:49.545081696,648724,rígido
1009,Scania,2015-02-12 13:18:50.536922576,458962,articulado
1010,Mercedes,2021-08-14 14:43:58.182360128,119173,rígido
1011,Volvo,2021-04-02 07:53:39.309100160,157598,rígido
1012,Scania,2016-05-13 05:28:03.254690704,471320,rígido
1013,Volvo,2023-12-28 01:05:11.255636992,230540,articulado
1014,Mercedes,2018-02-20 09:19:26.298112736,382643,articulado
1015,Volvo,2023-01-30 14:15:26.656138624,166355,rígido
1016,Scania,2022-03-19 19:21:58.889763328,245080,rígido
1017,Scania,2020-12-15 03:18:12.625051552,295735,rígido
1018,Scania,2023-12-11 06:27:59.417148480,225457,articulado
1019,Scania,2021-04-17 16:53:55.747230336,194107,articulado
1020,Scania,2021-07-31 05:13:16.856312256,149656,rígido
1021,Scania,2020-01-24 17:50:14.670900320,257627,articulado
1022,Scania,2015-04-12 12:43:02.540973136,352544,articulado
1023,Scania,2021-02-07 02:18:14.449909824,120100,articulado
1024,Volvo,2019-09-29 03:22:07.054414624,226420,articulado
1025,Mercedes,2019-09-21 14:30:10.724878560,139777,articulado
1026,Mercedes,2015-07-01 02:46:14.676198208,492921,rígido
1027,Scania,2017-05-01 00:40:14.922158656,521244,articulado
1028,Volvo,2021-04-10 18:21:01.636332608,263337,articulado
1029,Mercedes,2013-09-22 17:42:07.798175128,720766,rígido
1030,Scania,2012-05-15 21:50:59.061687910,890509,articulado
1031,Mercedes,2021-10-21 20:56:14.319003200,196260,rígido
1032,Mercedes,2020-04-02 01:55:30.886603520,243231,rígido
1033,Scania,2014-10-28 09:05:13.549791472,882903,rígido
1034,Volvo,2014-11-20 14:26:22.233925504,711464,rígido
1035,Mercedes,2012-11-14 07:30:04.356784900,846856,articulado
1036,Volvo,2022-09-01 20:01:40.629330944,255121,rígido
1037,Scania,2020-11-29 04:28:14.877817920,75739,articulado
1038,Scania,2015-02-21 09:52:43.312774688,409215,articulado
1039,Volvo,2013-12-16 14:52:02.882466112,629686,articulado
1040,Volvo,2015-06-14 21:20:47.567175232,457125,articulado
1041,Mercedes,2012-05-29 05:58:43.251412716,672068,articulado
1042,Volvo,2016-08-13 07:44:42.003588256,531112,rígido
1043,Volvo,2017-04-05 14:38:14.412756192,361765,rígido
1044,Mercedes,2022-11-05 20:20:09.229155840,280201,rígido
